Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
BRB,Capitalizacao_para_perdas_Master_2026,"A Agência Brasil reportou em 09/06/2026 que o BRB precisa de R$ 8,8 bilhões para fazer frente a possíveis perdas relacionadas ao caso Banco Master, mantendo o tema sob escrutínio público e prudencial.",Banco_Master,Cobertura_publica_sobre_pressao_de_capital_e_perdas,Altíssimo,Altíssimo,Muito alta,https://agenciabrasil.ebc.com.br/politica/noticia/2026-06/brb-precisa-de-r-88-bilhoes-para-fazer-frente-perdas-com-o-master
BRB,Continuidade_plano_capital_STF_BC_2026,"Em junho de 2026, o Correio Braziliense reportou que o acordo homologado no STF foi apresentado pelo BRB como base para execução do plano de capital e preservação da continuidade operacional do banco.",STF;Banco_Central,Cobertura_setorial_sobre_continuidade_e_plano_de_capital,Altíssimo,Altíssimo,Muito alta,https://www.correiobraziliense.com.br/cidades-df/2026/06/7435569-acordo-homologado-pelo-stf-mantem-brb-saudavel-afirma-nelson-de-souza.html
Sicoob,Resultado_recorde_2025_publicado_2026_07_03,"O Sicoob publicou em 03/07/2026 resultado financeiro recorde de R$ 11,2 bilhões no acumulado de 2025, crescimento de 33,3% em relação ao ano anterior.",Ecossistema_proprio,Resultado_recorde_com_reforco_de_capacidade_de_investimento,Altíssimo,Médio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076437
Sicoob,Dez_milhoes_de_cooperados_2026,"Em 11/06/2026, o Sicoob informou ter ultrapassado a marca de 10 milhões de cooperados, com 18 bilhões de transações no Super App em 2025, reforçando escala digital e capilaridade física.",Ecossistema_proprio,Escala_operacional_e_robustez_de_canais,Altíssimo,Médio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076598
Sicoob,Reconhecimento_BNDES_2026,"Em 11/06/2026, o Sicoob informou destaque no reconhecimento anual de Agentes Financeiros do BNDES, com primeiro lugar em NPS Foco no Cliente e Desenvolvimento Regional Norte, além de reconhecimento em outras três categorias.",BNDES,Reconhecimento_externo_em_credito_e_distribuicao,Alto,Médio,Alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/321076369
Sicoob,Top_7_inovadoras_TI_contexto_sustentado,"Contexto sustentado: o Portal do Cooperativismo Financeiro reportou em 26/03/2026 que o Sicoob alcançou o Top 7 do ranking As 100+ Inovadoras no Uso de TI, com destaque para solução de segurança contextual contra fraude após roubo ou furto de celular.",IT_Forum;Portal_do_Cooperativismo_Financeiro,Reconhecimento_externo_de_inovacao_defensiva_em_TI,Altíssimo,Médio,Alta,https://cooperativismodecredito.coop.br/2026/03/sicoob-alcanca-top-7-do-ranking-as-100-inovadoras-no-uso-de-ti-em-2026/
Banco Central,Contas_em_moeda_estrangeira_e_regulacao_cambial_2026,"Em 18/06/2026, o Banco Central anunciou que a Resolução BCB 575 ampliou as possibilidades de abertura e movimentação de contas em moeda estrangeira no país, com vigência operacional em 01/10/2026 e exigência de adaptação de sistemas e processos.",Ecossistema_financeiro,Modernizacao_regulatoria_com_impacto_em_cambio_e_operacao,Altíssimo,Altíssimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Pix_por_aproximacao_sem_teto_fixo_2026,"Em 19/06/2026, o Banco Central retirou o teto fixo de R$ 500 do Pix por aproximação e alinhou a regra às jornadas sem redirecionamento do Open Finance, com vigência operacional a partir de 01/10/2026.",Ecossistema_financeiro,Ajuste_regulatorio_com_impacto_em_pagamentos_e_experiencia_digital,Altíssimo,Altíssimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21169/noticia
Banco Central,Manual_de_Seguranca_Open_Finance_v5_2026,"A Instrução Normativa BCB nº 720, de 02/04/2026, divulgou a versão 5.0 do Manual de Segurança do Open Finance, de observância obrigatória para as instituições participantes.",Open_Finance,Atualizacao_normativa_de_seguranca_para_ecossistema_aberto,Altíssimo,Altíssimo,Muito alta,https://bcb.gov.br/estabilidadefinanceira/exibenormativo?numero=720&tipo=Instru%C3%A7%C3%A3o+Normativa+BCB
Banco Central,Dados_abertos_SPI_atualizacao_diaria_2026,"O portal de Dados Abertos do Banco Central mantém conjunto com atualização diária para disponibilidade, indisponibilidades e dados de Conta PI do SPI, reforçando transparência operacional de infraestrutura crítica.",SPI;Conta_PI,Observabilidade_publica_de_infraestrutura_critica,Altíssimo,Alto,Alta,https://dadosabertos.bcb.gov.br/hr/dataset/estatisticas-do-spi-sistema-de-pagamentos-instantaneos
