Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
BRB,Crise_BRB_Banco_Master_sob_escrutinio_politico_2026_06_26,"Em 26/06/2026, a Radio Senado reportou requerimento para ouvir o secretario de Economia do DF sobre os impactos da crise envolvendo BRB e Banco Master nas contas publicas do Distrito Federal.",Banco_Master;GDF;Radio_Senado;Contas_Publicas,Pressao_politica_e_fiscal_sobre_reestruturacao_do_banco,Altissimo,Altissimo,Muito alta,https://www12.senado.leg.br/radio/1/noticia/2026/06/26/comissao-deve-ouvir-secretario-do-df-sobre-impactos-da-crise-do-brb
BRB,Nota_imprensa_operacao_PicPay_2026_06_19,"Em 19/06/2026, o BRB publicou nota a imprensa para negar contrato com a PicPay no contexto da operacao investigada e reforcar que os fatos nao diziam respeito a atual administracao do banco.",PicPay;BRB_Servicos;Consignado;Investigacao,Gestao_de_crise_e_contencao_reputacional,Alta,Altissimo,Alta,https://novo.brb.com.br/imprensa/nota-a-imprensa-19-06/
Sicoob,IA_atendimento_consultivo_investimentos_2026_07_17,"Em 17/07/2026, o Sicoob publicou que passou a usar inteligencia artificial para fortalecer o atendimento consultivo das cooperativas em investimentos, apoiando a equipe com mais velocidade e padronizacao analitica.",IA;Investimentos;Atendimento_Consultivo;Cooperativas,IA_aplicada_a_produtividade_comercial_e_qualidade_de_atendimento,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/323334641
Sicoob,Patrocinio_futebol_feminino_2026_07_10,"Em 10/07/2026, o Sicoob anunciou patrocinio as principais competicoes do futebol feminino brasileiro, tratando o esporte como plataforma estrategica de conexao e negocio.",Futebol_Feminino;Patrocinio;Marca;Negocio,Expansao_de_marca_com_foco_em_aquisicao_e_relacionamento,Alta,Baixo,Alta,https://www.sicoob.com.br/web/sicoobcreditaipu/noticias/-/asset_publisher/xAioIawpOI5S/content/id/322906091
Sicoob,HDI_embedded_insurance_2026_06_02,"Em 02/06/2026, o Portal do Cooperativismo Financeiro destacou a parceria entre Sicoob e Grupo HDI para embutir seguro na jornada de financiamento veicular, reduzindo friccao operacional e acelerando a protecao ao cooperado.",Grupo_HDI;Seguro_Auto_Financiado;Embedded_Insurance;Credito_Veicular,Parceria_de_produto_combinando_credito_e_seguro_na_mesma_jornada,Alta,Medio,Alta,https://cooperativismodecredito.coop.br/2026/06/sicoob-e-grupo-hdi-anunciam-parceria-e-lancam-solucao-que-une-credito-e-seguro/
Sicoob,Dez_milhoes_cooperados_2026_05_26,"Em 26/05/2026, o Portal do Cooperativismo Financeiro reportou que o Sicoob ultrapassou 10 milhoes de cooperados, reforcando escala comercial, capilaridade e capacidade de distribuicao nacional.",Cooperados;Capilaridade;Expansao_Comercial;Cooperativismo,Cobertura_externa_sobre_escala_e_posicionamento_do_sistema,Altissimo,Medio,Alta,https://cooperativismodecredito.coop.br/2026/05/sicoob-alcanca-novo-patamar-de-cooperados-e-reafirma-a-forca-do-modelo-cooperativo-no-brasil/
Banco Central,Contas_em_moeda_estrangeira_regulacao_cambial_2026_07_01,"Em 01/07/2026, o Banco Central ampliou o acesso a contas em moeda estrangeira e modernizou a regulacao cambial no pais para reduzir custos, simplificar operacoes e dar mais eficiencia aos negocios internacionais.",Cambio;Contas_Em_Moeda_Estrangeira;Negocios_Internacionais;Regulacao_Cambial,Modernizacao_regulatoria_com_impacto_em_sistemas_e_processos,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Prudencial_para_prestadoras_de_ativos_virtuais_2026_07_01,"Em 01/07/2026, o Banco Central incorporou as sociedades prestadoras de servicos de ativos virtuais ao arcabouco prudencial vigente, ampliando a densidade regulatoria do setor.",Ativos_Virtuais;PSAV;Prudencial;Compliance,Expansao_do_arco_prudencial_sobre_infraestrutura_financeira_digital,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21192/nota
Banco Central,Pix_por_aproximacao_sem_teto_fixo_2026_06_19,"Em 19/06/2026, o Banco Central retirou o teto fixo de R$ 500 do Pix por aproximacao e deu prazo ate 01/10/2026 para adaptacao das instituicoes.",Pix;Open_Finance;Pagamentos_Digitais;Aproximacao,Flexibilizacao_regulatoria_com_impacto_direto_em_pagamentos_digitais,Altissimo,Alto,Muito alta,https://www.bcb.gov.br/detalhenoticia/21169/noticia
Banco Central,BC_endurece_acesso_SFN_fraudes_2026_06_09,"Em 09/06/2026, a Finsiders Brasil reportou que o Banco Central reforcou exigencias para entrada e permanencia no sistema financeiro, com foco em prevencao a fraudes, ataques e capacidade operacional das instituicoes.",Fraudes;Resiliencia;Finsiders_Brasil;Capacidade_Operacional,Endurecimento_supervisor_com_pressao_sobre_controles_e_seguranca,Altissimo,Altissimo,Muito alta,https://finsidersbrasil.com.br/regulamentacao/bc-endurece-acesso-ao-sistema-financeiro-e-mira-fraudes/
