Banco,Tema,Fato_relevante,Empresas_citadas,Tipo_de_vinculo,Impacto_estrategico,Risco_regulatorio_controle,Prioridade,Fonte
BRB,Esclarecimentos_Vero_Noticias_2026_07_20,"Em 20/07/2026, o BRB publicou comunicado ao mercado com esclarecimentos sobre noticia divulgada na midia pela Vero Noticias, mantendo alta a temperatura institucional do caso.",Vero_Noticias;CVM;Governanca;Mercado,Resposta_formal_a_pressao_de_midia_e_controle,Altissimo,Altissimo,Muito alta,https://ri.brb.com.br/upload/files/4183_Comuncado-ao-Mercado-Esclarecimentos-sobre-noti-cia-divulgada-na-mi-dia-Vero-Noti-cias-v2-1.pdf
BRB,CVM_lista_inadimplentes_BRB_2026_07_03,"Em 03/07/2026, a area tecnica da CVM divulgou lista com 11 companhias abertas inadimplentes, incluindo o BRB, por nao enviarem ha pelo menos tres meses ao menos um documento periodico como DFP, ITR ou FRE.",CVM;DFP;ITR;FRE,Sinal_regulatorio_externo_de_governanca_e_disclosure,Altissimo,Altissimo,Alta,https://www.gov.br/cvm/pt-br/assuntos/noticias/2026/area-tecnica-da-cvm-divulga-lista-com-11-companhias-abertas-inadimplentes
Sicoob,IA_atendimento_consultivo_investimentos_2026_07_17,"Em 17/07/2026, o Sicoob publicou que passou a usar inteligencia artificial para fortalecer o atendimento consultivo das cooperativas em investimentos, apoiando a equipe com mais velocidade e padronizacao analitica.",Sisbr_IA;Investimentos;Atendimento_Consultivo;Cooperativas,IA_aplicada_a_produtividade_comercial_e_qualidade_de_atendimento,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoob/noticias/-/asset_publisher/xAioIawpOI5S/content/id/323334641
Sicoob,Workshop_Produtor_Rural_Safra_2026_27_julho_2026,"Em publicacao oficial exibida na home do Sicoob em julho de 2026, apos o 17o Workshop Produtor Rural realizado em 14 e 15/07 em Brasilia, o sistema reafirmou a oferta de R$ 70 bilhoes em credito rural para a Safra 2026/2027 e reportou R$ 59,5 bilhoes liberados ao produtor rural na safra 2025/2026, com carteira agro de R$ 95 bilhoes.",Mapa;Ministerio_da_Fazenda;MDA;Banco_Central,Agenda_setorial_e_escala_de_credito_rural_com_interlocucao_publica,Altissimo,Medio,Muito alta,https://www.sicoob.com.br/web/sicoob
Sicoob,Plano_Safra_2026_27_70_bilhoes_2026_07_06,"Em 06/07/2026, o Portal do Cooperativismo Financeiro reportou que o Sicoob vai liberar R$ 70 bilhoes em credito rural para o Plano Safra 2026/27, alta de 17,7% sobre o ciclo anterior.",Plano_Safra;Credito_Rural;Agro;Cooperativismo_Financeiro,Escala_de_distribuicao_financeira_no_agro,Altissimo,Medio,Muito alta,https://cooperativismodecredito.coop.br/2026/07/sicoob-amplia-credito-rural-e-disponibiliza-r-70-bilhoes-para-o-plano-safra-2026-27/
Sicoob,Funcafe_2026_27_cooperativas_2026_07_22,"Em 22/07/2026, o Portal do Cooperativismo Financeiro reportou que Sicredi, Sicoob e Cresol reunem 35% dos recursos do Funcafe 2026/2027, reforcando o peso do cooperativismo financeiro na cadeia do cafe.",Funcafe;Sicredi;Cresol;Cooperativismo_Financeiro,Participacao_relevante_do_cooperativismo_em_credito_setorial,Alta,Medio,Alta,https://cooperativismodecredito.coop.br/2026/07/sicredi-sicoob-e-cresol-reunem-35-dos-recursos-do-funcafe-2026-2027/
Banco Central,Contas_em_moeda_estrangeira_regulacao_cambial_2026_07_01,"Em 01/07/2026, o Banco Central ampliou o acesso a contas em moeda estrangeira e modernizou a regulacao cambial para reduzir custos, simplificar operacoes e dar mais eficiencia aos negocios internacionais.",Cambio;Contas_Em_Moeda_Estrangeira;Negocios_Internacionais;Regulacao_Cambial,Modernizacao_regulatoria_com_impacto_em_sistemas_e_processos,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21191/noticia
Banco Central,Prudencial_para_prestadoras_de_ativos_virtuais_2026_07_01,"Em 01/07/2026, o Banco Central incorporou as sociedades prestadoras de servicos de ativos virtuais ao arcabouco prudencial vigente, ampliando a densidade regulatoria do setor.",Ativos_Virtuais;PSAV;Prudencial;Compliance,Expansao_do_arco_prudencial_sobre_infraestrutura_financeira_digital,Altissimo,Altissimo,Muito alta,https://www.bcb.gov.br/detalhenoticia/21192/nota
Banco Central,BC_mira_baixa_recuperacao_fraudes_Pix_2026_06_10,"Em 10/06/2026, a Finsiders Brasil reportou que o Banco Central esta de olho em instituicoes com taxa de recuperacao de recursos fraudados abaixo de 9% no Pix.",Fraudes;Pix;Recuperacao_de_Recursos;Finsiders_Brasil,Vigilancia_supervisora_com_pressao_sobre_controles_anti_fraude,Altissimo,Altissimo,Alta,https://finsidersbrasil.com.br/regulamentacao/bc-mira-instituicoes-com-baixa-recuperacao-de-fraudes-no-pix/
Banco Central,Pix_por_aproximacao_sem_teto_fixo_2026_06_19,"Em 19/06/2026, o Banco Central publicou que o Pix por aproximacao ganhou mais flexibilidade e deixou de ter teto fixo de R$ 500, com prazo ate 01/10/2026 para adequacao das instituicoes.",Pix;Open_Finance;Pagamentos_Digitais;Aproximacao,Flexibilizacao_regulatoria_com_impacto_direto_em_pagamentos_digitais,Altissimo,Alto,Alta,https://www.bcb.gov.br/detalhenoticia/21169/noticia
